T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS
2011.12.13_13:36:00_TAI,1183,1862.092,3.405,1.560821e+23,4.284499e+22,0.00173324,109.388,2242562000000,0.00549054,20.986,39884730000000,1952.333,25.445,74.919,-0.0433653,839.307739,3.775,74.446,33.027,"11376,11377"
2011.12.13_13:48:00_TAI,1183,1865.915,3.103,1.567495e+23,4.29689e+22,0.00170846,108.068,1179577000000,0.0054144,20.95,40330470000000,1983.636,25.325,75.073,-0.03658432,829.220215,3.748,74.644,33.252,"11376,11377"
2011.12.13_14:00:00_TAI,1183,1862.625,3.366,1.585682e+23,4.324975e+22,0.0017302,110.909,2181704000000,0.00553626,21.122,40658680000000,1994.153,25.598,74.814,-0.02108143,832.017761,3.716,74.643,32.942,"11376,11377"
2011.12.13_14:12:00_TAI,1183,1840.006,3.5,1.581284e+23,4.35491e+22,0.00193397,125.149,3814666000000,0.00621162,21.081,41365210000000,2021.499,25.551,74.704,-0.06460613,833.286255,3.656,74.337,32.816,"11376,11377"
2011.12.13_14:24:00_TAI,1183,1837.58,3.353,1.594744e+23,4.383457e+22,0.00172034,112.417,2482718000000,0.00556263,21.183,41608110000000,2028.65,25.549,74.383,-0.04630346,842.449219,3.703,74.266,32.897,"11376,11377"
2011.12.13_14:36:00_TAI,1183,1842.628,3.267,1.594794e+23,4.390163e+22,0.00160373,104.517,1805172000000,0.00514738,21.054,41494330000000,2030.822,25.526,74.995,-0.0340289,841.212097,3.701,74.929,33.359,"11376,11377"
2012.09.11_05:12:00_TAI,1999,1895.479,5.572,1.779893e+23,4.792904e+22,0.00198644,140.442,11103150000000,0.00618854,19.482,32239600000000,1649.03,25.757,69.546,-0.02911826,704.40564,3.554,66.44,27.32,"11563,11564"
2012.09.11_05:24:00_TAI,1999,1889.229,5.45,1.751644e+23,4.73815e+22,0.00201705,140.816,12497010000000,0.00628999,19.224,30313540000000,1566.917,25.721,68.541,-0.0413801,692.337402,3.484,65.49,27.072,"11563,11564"
2012.09.11_05:36:00_TAI,1999,1851.26,5.526,1.729004e+23,4.722576e+22,0.00191159,134.421,11351260000000,0.00608134,19.224,29917710000000,1545.088,25.747,67.326,-0.09812143,694.396423,3.557,64.302,26.676,"11563,11564"
2012.09.11_05:48:00_TAI,1999,1842.979,5.795,1.743763e+23,4.722908e+22,0.00177777,126.654,11262630000000,0.00576214,19.435,30482490000000,1557.182,26.33,66.556,-0.02356843,697.962769,3.571,63.273,27.142,"11563,11564"
2012.09.11_06:00:00_TAI,1999,1829.826,5.673,1.733044e+23,4.710986e+22,0.00211106,150.551,13596900000000,0.00690527,19.221,29974680000000,1527.988,26.295,65.985,-0.07727724,690.770142,3.468,62.544,26.791,"11563,11564"
2012.09.11_06:12:00_TAI,1999,1808.904,5.906,1.751113e+23,4.773747e+22,0.00173526,126.481,12113030000000,0.00576389,19.53,30567060000000,1522.214,26.411,65.843,0.01241323,684.826904,3.518,62.186,26.801,"11563,11564"
2013.03.21_10:12:00_TAI,2546,6433.274,19.527,4.902615e+23,4.234447e+22,-0.01212491,695.752,27243120000000,-0.027032,29.605,34591650000000,2100.93,37.329,78.022,-0.01636607,1136.243408,4.334,68.416,35.209,11692
2013.03.21_10:24:00_TAI,2546,6519.68,20.134,4.929934e+23,4.198316e+22,-0.01136816,647.246,24504630000000,-0.02536338,29.879,34225170000000,2079.132,37.475,79.058,0.08340904,1147.078125,4.361,68.31,35.124,11692
2013.03.21_10:36:00_TAI,2546,6486.283,20.774,4.880129e+23,4.153381e+22,-0.01147401,650.003,26525840000000,-0.02576902,30.265,33854320000000,2040.556,37.78,79.143,-0.00517768,1130.428467,4.345,68.208,34.847,11692
2013.03.21_10:48:00_TAI,2546,6547.145,20.775,4.888359e+23,4.13277e+22,-0.0111506,626.864,25690500000000,-0.02494664,30.142,33594410000000,2005.167,37.733,81.26,-0.00435909,1142.82312,4.318,68.877,35.348,11692
2013.03.21_11:00:00_TAI,2546,6549.554,21.054,4.911207e+23,4.123836e+22,-0.00789005,445.464,18919980000000,-0.0178999,30.23,33037650000000,1971.172,37.779,79.166,0.00525461,1135.840332,4.306,68.287,34.915,11692
2013.03.21_11:12:00_TAI,2546,6608.305,21.803,4.953331e+23,4.068582e+22,-0.00743835,419.82,18503810000000,-0.01711885,30.829,34200910000000,1976.294,38.256,80.905,0.02765924,1143.768921,4.316,68.563,35.208,11692
2013.03.21_11:24:00_TAI,2546,6510.606,20.673,4.945725e+23,4.133457e+22,-0.00788776,451.164,18511730000000,-0.01819427,30.217,33218680000000,1959.918,37.863,78.286,-0.00966868,1147.481934,4.316,66.634,34.508,11692
2013.03.21_11:36:00_TAI,2546,6326.353,20.596,4.788199e+23,4.144217e+22,-0.01040107,592.736,23614750000000,-0.02379674,30.134,33211620000000,1960.761,37.936,75.599,-0.02539531,1150.536987,4.237,65.65,34.212,11692
2013.03.21_11:48:00_TAI,2546,6435.649,20.734,4.813487e+23,4.109155e+22,-0.00979333,551.521,17747850000000,-0.02228917,29.962,34324800000000,1958.475,37.852,79.347,0.02944293,1154.39563,4.276,67.571,35.192,11692
2013.03.21_12:00:00_TAI,2546,6733.335,21.53,4.946987e+23,4.035291e+22,-0.00824513,456.112,19487350000000,-0.01876154,30.73,32672110000000,1910.32,38.36,79.092,0.01924352,1152.283813,4.272,67.353,34.975,11692
2013.05.14_22:48:00_TAI,2739,7748.058,29.386,6.685878e+23,4.051393e+22,-0.00707845,459.915,21283460000000,-0.01877623,36.933,53850200000000,2442.278,42.651,100.194,0.19205487,1815.815063,4.431,97.655,47.868,11745
2013.05.14_23:00:00_TAI,2739,7763.687,29.184,6.671322e+23,4.035857e+22,-0.00756414,489.407,21102310000000,-0.02003889,36.793,53702090000000,2435.613,42.676,100.612,0.23283292,1819.08313,4.446,98.015,48.053,11745
2013.05.14_23:12:00_TAI,2739,7773.603,29.232,6.653516e+23,4.02656e+22,-0.00721773,465.168,20758750000000,-0.01906837,36.831,53631860000000,2434.82,42.685,101.199,0.26024979,1806.029419,4.449,98.719,48.461,11745
