T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,X
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,X
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
2011.09.22_15:36:00_TAI,892,15780.69,37.718,1.213458e+24,4.715376e+22,-0.00607546,351.775,19150450000000,-0.00958639,41.376,48377050000000,3574.13,45.776,91.145,0.028771,1819.475708,4.492,67.388,39.753,11302,M
